,total_area,pop_density_avail,prop_semi_sls,median_income,gdp_hh,prop_flat_sls,prop_hh_1_person,avail_land,year,rpi,num_wait_lst,ratio_new_exist_prices,prop_det_sls,aff_rent,aff_sh_own,population,avg_hh_size,num_hh_2dp,num_hh_oth,int_rate_max,dwell_stock,prop_terr_sls,net_add_to_hh,g_belt_percent,num_hh_1dp,num_hh_1m,wait_list_to_hh,pop_density,int_rate_min,num_hh_>2dp,net_additions,all_sls_price
0,7460,43.87023809523809,0.3070833333333333,25076,0.0652131265089667,0.1720833333333333,0.3667629068308504,0.900804289544236,2009,213.7,9398.0,1.2755102040816326,0.1745833333333333,0.0,0.0,294808,2.3956824174274725,11331.60345,43907.39361,1.5,28931.0,0.34625,0.0072486116942053,0.099195710455764,15777.92471,24005.93909,0.0763704626705631,39.51849865951743,0.5,6907.998289,892,100.0
1,7160,35.00055865921788,0.2126934984520123,18318,0.041427184827778,0.058204334365325,0.3411418982319842,1.0,2003,181.3,9924.0,2.1494736842105264,0.0917956656346749,0.0,0.0,250604,2.338774099252192,11923.6818,38955.77776,3.75,32410.0,0.6373065015479876,-0.0003919670562664,0.0,14020.52922,17959.99236,0.0926162158663818,35.00055865921788,3.5,5697.883796,-42,48.5
2,14230,10.39226234340457,0.3227712137486573,26480,0.0836618257431424,0.1149301825993555,0.3651123018830188,0.9536191145467322,2016,263.1,2834.0,1.821821862348178,0.2158968850698174,67.0,12.0,141023,2.443205974689414,5559.456949,20740.92072,0.25,0.0,0.3464017185821697,0.0083852399378092,0.0463808854532677,7324.821607,11564.99304,0.049098698313536,9.910260014054812,0.25,3020.817792,484,129.75
3,240480,1.427149866932801,0.3494274809160305,29407,0.0541240947015563,0.0486641221374045,0.2828788586560445,1.0,2020,293.1,6556.0,1.5211267605633805,0.3916030534351145,203.0,100.0,343201,2.297235150342424,13718.72396,72061.9153,0.25,11298.0,0.2103053435114504,0.0083067031319108,0.0,17116.77126,18527.00358,0.0438829538539949,1.427149866932801,0.1,4238.636379,1241,190.0
4,15010,41.49224489795918,0.2398927392739274,27236,0.0590442465320776,0.3626237623762376,0.3127382340755478,0.4896735509660226,2008,214.8,4861.0,0.9998076923076924,0.1511963696369637,0.0,0.0,304968,2.3865614017753027,15663.12704,49826.24567,5.25,86.0,0.2462871287128712,0.0060491984849961,0.5103264490339774,16388.33221,16843.84337,0.0380403025039668,20.317654896735508,2.0,5944.40015,773,260.0
5,7460,47.46071428571429,0.2884038199181446,25975,0.0804505397173214,0.1732605729877216,0.3641444243584531,0.900804289544236,2015,258.5,3834.0,1.2090454545454543,0.1601637107776262,159.0,27.0,318936,2.511606630313591,11179.21518,46250.40053,0.5,26671.0,0.3781718963165075,0.008056078908655,0.099195710455764,16363.89833,25113.31936,0.0301925772588303,42.75281501340483,0.5,6950.513103,1023,112.5
6,88650,0.924918217710096,0.1956414066369489,17577,0.0437337771925517,0.1198613174839029,0.2870205924059023,1.0,2003,181.3,1558.0,1.2315942028985507,0.3699851411589896,0.0,0.0,81994,2.3467979889568658,3866.690426,15827.54565,3.75,17.0,0.3145121347201585,0.0080712861049081,0.0,3731.4171,3784.187655,0.0445924246505207,0.924918217710096,3.5,1484.898911,282,174.5
7,116640,5.214435146443515,0.3158188932364449,30269,0.0920531340742901,0.0671883733929569,0.3197034765557698,0.6556927297668038,2021,305.0,5052.0,1.026596958174905,0.395975405254332,195.0,170.0,398800,2.3363323279339983,16781.85019,73394.00423,0.25,23.0,0.221017328116266,0.0133278737363336,0.3443072702331962,21011.53668,25356.75094,0.0295966673037175,3.4190672153635115,0.25,4935.752186,2275,264.5
8,18820,37.87062423500612,0.3231266149870801,22650,0.0360383674348381,0.1126614987080103,0.2897856826772319,0.4341126461211477,2007,206.6,5059.0,1.2892838427947595,0.1766149870801033,0.0,0.0,309403,2.375453557614236,15126.54519,52751.13967,5.75,23142.0,0.3875968992248062,0.0133665951649026,0.5658873538788523,19228.93079,18275.54499,0.0388406691207597,16.440116896918173,5.25,5398.851231,1741,119.95
9,12910,31.69661835748792,0.2757232704402516,30000,0.1299528616539694,0.3159748427672956,0.2826852860527913,0.3206816421378776,2007,206.6,2563.0,1.124,0.2294339622641509,0.0,0.0,131224,2.490570223116765,6787.83788,22074.75476,5.75,222.0,0.1788679245283018,0.0099452752310033,0.6793183578621224,6347.39494,6197.080118,0.0486445427806519,10.164523625096823,5.25,2584.130877,524,250.0
10,115570,0.7557757203426495,0.2278177458033573,18291,0.0326856563749493,0.0211830535571542,0.2672697088008943,1.0,2007,206.6,1993.0,1.1866613906975072,0.4560351718625099,0.0,0.0,87345,2.379107213391622,4058.712782,16801.84478,5.75,3.0,0.2949640287769784,0.0217359614893412,0.0,4393.359815,4324.638467,0.0542854276293949,0.7557757203426495,5.25,1647.067555,798,142.973
11,31530,3.458325404376784,0.2862203329791002,22220,0.0415749630100729,0.1484236627701027,0.3124824489530814,1.0,2007,206.6,2869.0,1.0303030303030305,0.1930570315267446,0.0,0.0,109041,2.3513358618160587,4772.33743,19390.24706,5.75,4698.0,0.3722989727240524,0.0122482256170754,0.0,5484.871105,6290.88545,0.0618664776327278,3.458325404376784,5.25,2235.527392,568,166.5
